skin_tone,hair_color,lip_color,eye_color,age,season,dress_shade,lip_shade
dark,light brown,pink,turquoise,38,fall,muted,bronze
ebony,black,nude,green,64,winter,vibrant colors,red
medium,gray,brown,teal,48,fall,monochrome,bronze
ivory,platinum,coral,turquoise,37,fall,pastel,nude
porcelain,light brown,burgundy,black,22,summer,pastel,nude
ivory,black,nude,hazel,48,fall,muted,bronze
medium,black,nude,green,65,winter,muted,mauve
deep,black,peach,black,56,spring,jewel tones,berry
dark,chestnut,peach,violet,57,fall,metallic,bronze
light,light brown,peach,black,15,spring,jewel tones,rose
ebony,black,nude,black,15,fall,vibrant colors,plum
tan,auburn,coral,black,66,fall,vibrant colors,red
olive,red,burgundy,blue,63,summer,vibrant colors,cherry
olive,black,peach,gray,38,winter,muted,mauve
ivory,light brown,plum,turquoise,56,summer,pastel,coral
dark,black,nude,turquoise,34,fall,jewel tones,berry
tan,red,brown,black,35,summer,earth tones,berry
ivory,gray,burgundy,hazel,43,spring,muted,plum
fair,chestnut,purple,blue,64,winter,metallic,plum
tan,auburn,nude,turquoise,23,winter,vibrant colors,cherry
medium,platinum,nude,brown,29,summer,monochrome,red
ebony,auburn,plum,turquoise,35,summer,bright,red
ivory,gray,coral,blue,29,fall,metallic,mauve
olive,blonde,nude,green,48,summer,earth tones,rose
olive,gray,mauve,gray,19,spring,jewel tones,red
olive,red,nude,green,61,spring,earth tones,rose
fair,gray,coral,gray,43,fall,bright,berry
medium,platinum,burgundy,green,46,summer,earth tones,red
olive,red,nude,turquoise,30,summer,earth tones,rose
light,red,plum,blue,62,spring,jewel tones,berry
porcelain,chestnut,red,green,35,winter,neon,nude
olive,light brown,peach,green,27,winter,vibrant colors,red
ivory,gray,plum,amber,43,spring,jewel tones,rose
olive,chestnut,purple,teal,47,spring,neutral,coral
ivory,chestnut,red,teal,45,winter,bright,cherry
fair,brown,pink,brown,19,winter,jewel tones,rose
light,gray,peach,hazel,34,winter,bright,berry
deep,gray,brown,violet,63,winter,vibrant colors,plum
fair,brown,pink,brown,44,spring,muted,plum
olive,gray,mauve,turquoise,67,winter,neutral,nude
olive,light brown,pink,hazel,56,spring,vibrant colors,berry
deep,gray,pink,hazel,29,winter,jewel tones,berry
ebony,red,nude,brown,57,fall,bright,berry
light,chestnut,coral,black,60,fall,vibrant colors,red
olive,blonde,burgundy,amber,22,spring,earth tones,rose
deep,light brown,red,blue,16,summer,jewel tones,rose
tan,blonde,plum,violet,68,winter,earth tones,berry
medium,chestnut,burgundy,brown,23,fall,earth tones,berry
olive,auburn,brown,turquoise,17,summer,jewel tones,red
medium,dark brown,mauve,green,52,summer,jewel tones,rose
deep,blonde,plum,blue,30,spring,neutral,nude
light,gray,nude,green,20,summer,muted,bronze
olive,chestnut,burgundy,hazel,60,fall,vibrant colors,cherry
ivory,auburn,pink,blue,64,summer,jewel tones,rose
dark,platinum,brown,brown,69,winter,pastel,nude
deep,auburn,coral,violet,62,spring,vibrant colors,plum
porcelain,chestnut,red,black,15,spring,pastel,coral
porcelain,chestnut,coral,green,66,winter,jewel tones,berry
porcelain,blonde,coral,black,39,fall,pastel,peach
porcelain,auburn,pink,gray,24,fall,muted,bronze
medium,red,nude,black,69,winter,vibrant colors,red
deep,gray,burgundy,teal,37,spring,jewel tones,berry
medium,dark brown,purple,brown,69,fall,jewel tones,red
fair,platinum,burgundy,teal,19,summer,pastel,nude
olive,platinum,coral,gray,41,winter,vibrant colors,cherry
medium,red,peach,green,55,winter,earth tones,red
olive,chestnut,brown,brown,47,summer,vibrant colors,berry
dark,light brown,burgundy,green,45,summer,neon,nude
olive,brown,nude,black,32,spring,earth tones,rose
fair,red,brown,brown,57,winter,neutral,nude
tan,auburn,red,green,57,winter,earth tones,red
fair,blonde,brown,teal,45,summer,neutral,peach
olive,gray,peach,gray,53,winter,jewel tones,rose
fair,dark brown,burgundy,turquoise,50,summer,muted,plum
tan,blonde,plum,violet,28,fall,neutral,peach
light,brown,peach,violet,48,spring,muted,mauve
porcelain,red,burgundy,teal,52,summer,jewel tones,berry
olive,gray,peach,blue,40,spring,jewel tones,red
tan,platinum,burgundy,teal,59,fall,bright,red
porcelain,blonde,mauve,blue,31,summer,jewel tones,rose
olive,brown,nude,green,17,spring,jewel tones,rose
tan,red,plum,green,20,summer,earth tones,berry
ebony,brown,red,amber,36,spring,vibrant colors,berry
deep,auburn,mauve,hazel,48,winter,earth tones,rose
dark,light brown,red,gray,25,fall,monochrome,cherry
deep,brown,brown,violet,34,fall,bright,berry
olive,brown,plum,gray,37,fall,jewel tones,rose
ebony,dark brown,purple,violet,22,fall,jewel tones,berry
olive,light brown,peach,violet,52,spring,neutral,rose
deep,dark brown,pink,turquoise,43,fall,bright,berry
olive,red,mauve,blue,31,winter,vibrant colors,cherry
fair,light brown,pink,violet,20,summer,pastel,nude
light,dark brown,brown,gray,59,summer,jewel tones,rose
deep,dark brown,red,violet,58,fall,bright,red
ivory,light brown,peach,hazel,59,summer,pastel,nude
light,black,pink,green,56,winter,earth tones,mauve
olive,auburn,nude,green,64,spring,earth tones,rose
deep,light brown,peach,violet,27,winter,metallic,bronze
medium,platinum,coral,amber,35,fall,muted,plum
fair,brown,red,amber,24,summer,muted,bronze
dark,auburn,pink,amber,17,spring,bright,berry
fair,gray,red,green,19,winter,neutral,coral
medium,gray,brown,amber,68,spring,metallic,bronze
ebony,gray,pink,violet,40,fall,metallic,mauve
porcelain,chestnut,purple,blue,21,spring,muted,bronze
ivory,auburn,burgundy,hazel,39,spring,jewel tones,rose
dark,brown,purple,hazel,27,summer,vibrant colors,plum
ivory,black,red,hazel,38,spring,earth tones,rose
ebony,auburn,plum,turquoise,33,fall,vibrant colors,red
ebony,platinum,pink,hazel,55,spring,monochrome,rose
ebony,light brown,red,brown,46,winter,muted,bronze
medium,gray,peach,gray,15,winter,neutral,nude
ivory,black,red,black,27,spring,vibrant colors,cherry
ebony,platinum,mauve,teal,57,summer,earth tones,rose
ebony,dark brown,pink,black,21,summer,bright,berry
medium,platinum,nude,brown,40,summer,metallic,bronze
ebony,blonde,peach,violet,68,winter,neon,plum
light,auburn,brown,brown,66,spring,pastel,coral
tan,auburn,mauve,blue,57,summer,vibrant colors,berry
deep,dark brown,mauve,hazel,42,spring,bright,red
dark,platinum,red,blue,19,spring,muted,bronze
fair,chestnut,nude,gray,28,spring,monochrome,berry
olive,brown,brown,black,26,spring,earth tones,red
porcelain,brown,burgundy,teal,15,winter,jewel tones,berry
medium,brown,brown,teal,59,summer,vibrant colors,cherry
light,auburn,red,green,44,spring,pastel,coral
ivory,black,purple,gray,53,fall,pastel,nude
fair,brown,red,teal,68,summer,muted,bronze
light,black,nude,violet,29,fall,earth tones,rose
ivory,auburn,burgundy,violet,26,winter,muted,bronze
medium,blonde,purple,blue,42,fall,earth tones,red
fair,chestnut,plum,brown,22,winter,muted,bronze
tan,black,peach,hazel,18,fall,earth tones,rose
medium,brown,red,turquoise,54,summer,vibrant colors,berry
tan,chestnut,pink,blue,69,spring,earth tones,rose
deep,black,burgundy,hazel,50,spring,vibrant colors,red
light,blonde,peach,turquoise,38,winter,pastel,nude
deep,black,purple,brown,22,winter,jewel tones,plum
porcelain,gray,brown,violet,63,winter,neon,bronze
ebony,black,coral,hazel,50,spring,bright,plum
fair,chestnut,purple,brown,37,summer,metallic,plum
deep,auburn,brown,teal,53,fall,vibrant colors,red
tan,red,purple,green,18,summer,neutral,peach
olive,platinum,purple,brown,33,spring,muted,mauve
dark,chestnut,plum,brown,17,fall,monochrome,nude
ivory,chestnut,plum,amber,27,summer,pastel,peach
tan,black,peach,blue,49,spring,earth tones,red
deep,blonde,coral,black,64,fall,neon,cherry
light,dark brown,pink,turquoise,68,fall,muted,bronze
dark,red,pink,brown,41,winter,vibrant colors,berry
tan,chestnut,peach,gray,16,spring,vibrant colors,cherry
dark,light brown,coral,blue,24,spring,jewel tones,rose
light,blonde,mauve,violet,33,spring,jewel tones,berry
fair,auburn,burgundy,amber,53,winter,pastel,peach
porcelain,black,red,teal,22,summer,neon,cherry
porcelain,light brown,burgundy,brown,69,spring,jewel tones,rose
olive,red,red,blue,59,summer,vibrant colors,red
deep,black,brown,hazel,33,winter,jewel tones,berry
deep,red,red,green,21,spring,vibrant colors,berry
tan,chestnut,purple,violet,25,summer,earth tones,berry
ebony,dark brown,peach,hazel,61,spring,vibrant colors,red
ebony,blonde,nude,green,63,summer,vibrant colors,red
fair,black,peach,turquoise,43,fall,neon,mauve
fair,auburn,mauve,turquoise,16,summer,pastel,coral
ivory,blonde,peach,blue,57,spring,pastel,nude
tan,light brown,red,gray,40,summer,earth tones,rose
dark,gray,mauve,green,62,spring,vibrant colors,red
light,auburn,brown,hazel,22,summer,pastel,coral
fair,gray,peach,green,41,fall,metallic,bronze
tan,platinum,brown,black,63,summer,vibrant colors,cherry
medium,chestnut,plum,amber,22,summer,vibrant colors,cherry
light,platinum,plum,hazel,42,winter,neutral,coral
ebony,blonde,coral,gray,28,summer,monochrome,cherry
deep,dark brown,mauve,gray,52,summer,vibrant colors,berry
porcelain,red,burgundy,green,67,fall,jewel tones,berry
medium,blonde,purple,blue,20,spring,earth tones,rose
deep,red,red,teal,66,winter,earth tones,berry
olive,brown,plum,amber,49,winter,vibrant colors,berry
dark,gray,purple,turquoise,33,fall,vibrant colors,plum
olive,auburn,red,brown,68,winter,jewel tones,rose
medium,light brown,red,amber,56,spring,vibrant colors,berry
medium,blonde,plum,amber,69,spring,neutral,nude
ivory,red,coral,amber,68,fall,neutral,nude
